index,name,filename
0,computer,computer.png
2,file,file.png
3,globe,globe.png
4,spider,spider.gif
5,kitsui,kitsuicon.gif
6,magnify,magnifying.png
7,microchip,microchip.png
8,books,BOOKS.BMP
9,os2_computer,os2_computer.png
10,os2_dos,os2_dos.png
11,os2_settings,os2_settings.png
12,os2_text,os2_text.png
13,os2,os2.png
14,recorder,recorder_icon.png
15,tpx,TPX.ICO
16,turbo,TURBO.ICO
17,vbonline,VBONLINE.ICO
18,write,write_icon.png
19,sundial,1_sundial.ico
20,1_winzip95,1_winzip95.ico
21,122,122.bmp
22,books2,BOOKS2.BMP
23,chalk,CHALKBRD.BMP
24,code,CODE1.BMP
25,crdfile1,CRDFILE1.BMP
26,crdfile2,CRDFILE2.BMP
27,disk-c-trash,disk-c-trash.ico
28,draw,DRAW1.BMP
29,draw,DRAW2.BMP
30,email,EMAIL1.BMP
31,email,EMAIL2.BMP
32,file,FILE1.BMP
33,graph,GRAPH1.BMP
34,graph,GRAPH2.BMP
35,graph,GRAPHIC.BMP
36,img,IMAGE1.BMP
37,img,IMAGE2.BMP
38,install,install-1.ico
39,install,install-2.ico
40,install,install-3.ico
41,install,install-4.ico
42,install,install-5.ico
44,install,install-7.ico
45,install,install-8.png
46,laptop,laptop.ico
47,lb,LIGHTBLB.BMP
48,link,LINK.BMP
49,lock,LOCK1.BMP
50,lock,LOCK2.BMP
51,addr,NET_ADDR.BMP
52,network,NETWORK.bmp
53,note,NOTE1.BMP
54,phone,PHONE.BMP
55,SAFE,SAFE.BMP
56,settings,settings.ico
57,win-sys,win-sys.ico